user_id,preferences,gender,number_of_adults,number_of_children
776,"Nature, Adventure",Male,2,1
777,"City, Historical",Male,1,2
778,"Beaches, Historical",Female,1,0
779,"Nature, Adventure",Female,2,1
780,"City, Historical",Female,2,0
781,"Beaches, Historical",Female,1,0
782,"Nature, Adventure",Male,1,0
783,"City, Historical",Male,1,1
784,"Beaches, Historical",Male,2,1
785,"Nature, Adventure",Male,1,0
786,"City, Historical",Female,2,1
787,"Beaches, Historical",Male,1,0
788,"Nature, Adventure",Female,1,2
789,"City, Historical",Male,2,1
790,"Beaches, Historical",Male,1,0
791,"Nature, Adventure",Male,1,0
792,"City, Historical",Male,1,0
793,"Beaches, Historical",Male,2,2
794,"Nature, Adventure",Female,2,1
795,"City, Historical",Male,1,0
796,"Beaches, Historical",Female,1,0
797,"Nature, Adventure",Female,1,0
798,"City, Historical",Male,2,1
799,"Beaches, Historical",Female,1,2
800,"Nature, Adventure",Female,1,2
801,"City, Historical",Female,2,0
802,"Beaches, Historical",Male,1,0
803,"Nature, Adventure",Female,2,1
804,"City, Historical",Female,1,0
805,"Beaches, Historical",Male,1,2
806,"Nature, Adventure",Male,2,1
807,"City, Historical",Female,2,1
808,"Beaches, Historical",Female,1,0
809,"Nature, Adventure",Male,1,2
810,"City, Historical",Female,2,1
811,"Beaches, Historical",Male,2,1
812,"Nature, Adventure",Male,2,0
813,"City, Historical",Male,1,2
814,"Beaches, Historical",Male,1,2
815,"Nature, Adventure",Male,1,1
816,"City, Historical",Male,1,2
817,"Beaches, Historical",Female,1,0
818,"Nature, Adventure",Female,2,0
819,"City, Historical",Female,1,1
820,"Beaches, Historical",Male,1,1
821,"Nature, Adventure",Male,1,2
822,"City, Historical",Female,1,0
823,"Beaches, Historical",Female,1,2
824,"Nature, Adventure",Male,2,2
825,"City, Historical",Female,2,1
826,"Beaches, Historical",Female,2,0
827,"Nature, Adventure",Male,2,0
828,"City, Historical",Female,2,2
829,"Beaches, Historical",Female,1,0
830,"Nature, Adventure",Male,1,0
831,"City, Historical",Female,2,2
832,"Beaches, Historical",Female,2,1
833,"Nature, Adventure",Female,2,1
834,"City, Historical",Male,2,1
835,"Beaches, Historical",Female,2,2
836,"Nature, Adventure",Female,2,0
837,"City, Historical",Female,2,2
838,"Beaches, Historical",Female,2,2
839,"Nature, Adventure",Female,1,1
840,"City, Historical",Female,1,0
841,"Beaches, Historical",Female,1,1
842,"Nature, Adventure",Male,2,0
843,"City, Historical",Male,2,0
844,"Beaches, Historical",Male,2,1
845,"Nature, Adventure",Female,2,1
846,"City, Historical",Male,1,2
847,"Beaches, Historical",Female,1,0
848,"Nature, Adventure",Female,2,0
849,"City, Historical",Female,1,0
850,"Beaches, Historical",Male,2,0
851,"Nature, Adventure",Female,2,0
852,"City, Historical",Male,2,2
853,"Beaches, Historical",Male,2,0
854,"Nature, Adventure",Female,2,2
855,"City, Historical",Female,1,1
856,"Beaches, Historical",Female,1,2
857,"Nature, Adventure",Male,1,2
858,"City, Historical",Male,1,2
859,"Beaches, Historical",Male,2,1
860,"Nature, Adventure",Male,1,0
861,"City, Historical",Male,1,2
862,"Beaches, Historical",Male,1,1
863,"Nature, Adventure",Male,1,2
864,"City, Historical",Female,2,2
865,"Beaches, Historical",Male,2,1
866,"Nature, Adventure",Male,2,2
867,"City, Historical",Male,2,2
868,"Beaches, Historical",Female,2,0
869,"Nature, Adventure",Male,1,1
870,"City, Historical",Female,2,2
871,"Beaches, Historical",Male,1,1
872,"Nature, Adventure",Male,1,1
873,"City, Historical",Female,2,0
874,"Beaches, Historical",Male,2,0
875,"Nature, Adventure",Male,2,0
876,"City, Historical",Male,2,2
877,"Beaches, Historical",Female,2,2
878,"Nature, Adventure",Female,1,2
879,"City, Historical",Female,1,2
880,"Beaches, Historical",Male,2,2
881,"Nature, Adventure",Male,1,2
882,"City, Historical",Male,1,1
883,"Beaches, Historical",Female,2,1
884,"Nature, Adventure",Male,2,0
885,"City, Historical",Male,2,2
886,"Beaches, Historical",Male,1,1
887,"Nature, Adventure",Female,1,0
888,"City, Historical",Female,2,0
889,"Beaches, Historical",Male,2,0
890,"Nature, Adventure",Male,1,0
891,"City, Historical",Male,1,1
892,"Beaches, Historical",Female,1,1
893,"Nature, Adventure",Male,2,1
894,"City, Historical",Female,2,0
895,"Beaches, Historical",Female,1,0
896,"Nature, Adventure",Female,2,2
897,"City, Historical",Female,1,2
898,"Beaches, Historical",Female,2,0
899,"Nature, Adventure",Female,1,1
900,"City, Historical",Female,2,0
901,"Beaches, Historical",Female,2,2
902,"Nature, Adventure",Female,2,2
903,"City, Historical",Male,2,1
904,"Beaches, Historical",Male,1,0
905,"Nature, Adventure",Female,1,2
906,"City, Historical",Male,1,1
907,"Beaches, Historical",Female,2,2
908,"Nature, Adventure",Female,2,1
909,"City, Historical",Male,2,2
910,"Beaches, Historical",Male,2,2
911,"Nature, Adventure",Female,1,0
912,"City, Historical",Male,1,1
913,"Beaches, Historical",Male,1,1
914,"Nature, Adventure",Male,1,2
915,"City, Historical",Male,1,0
916,"Beaches, Historical",Female,1,2
917,"Nature, Adventure",Female,2,2
918,"City, Historical",Male,2,2
919,"Beaches, Historical",Female,1,1
920,"Nature, Adventure",Female,2,0
921,"City, Historical",Male,1,2
922,"Beaches, Historical",Male,1,2
923,"Nature, Adventure",Female,2,2
924,"City, Historical",Female,1,1
925,"Beaches, Historical",Male,2,2
926,"Nature, Adventure",Female,1,1
927,"City, Historical",Male,1,1
928,"Beaches, Historical",Female,1,1
929,"Nature, Adventure",Male,1,1
930,"City, Historical",Male,2,1
931,"Beaches, Historical",Male,1,0
932,"Nature, Adventure",Female,1,1
933,"City, Historical",Male,2,1
934,"Beaches, Historical",Female,2,2
935,"Nature, Adventure",Female,1,0
936,"City, Historical",Male,1,0
937,"Beaches, Historical",Female,2,2
938,"Nature, Adventure",Female,1,1
939,"City, Historical",Female,2,0
940,"Beaches, Historical",Female,1,1
941,"Nature, Adventure",Male,2,2
942,"City, Historical",Male,1,0
943,"Beaches, Historical",Male,2,1
944,"Nature, Adventure",Female,2,0
945,"City, Historical",Male,2,0
946,"Beaches, Historical",Male,1,1
947,"Nature, Adventure",Female,2,1
948,"City, Historical",Male,1,0
949,"Beaches, Historical",Female,2,2
950,"Nature, Adventure",Male,2,0
951,"City, Historical",Male,1,2
952,"Beaches, Historical",Female,1,0
953,"Nature, Adventure",Female,1,1
954,"City, Historical",Male,2,2
955,"Beaches, Historical",Female,2,2
956,"Nature, Adventure",Male,1,0
957,"City, Historical",Female,1,0
958,"Beaches, Historical",Male,1,2
959,"Nature, Adventure",Male,1,1
960,"City, Historical",Male,1,2
961,"Beaches, Historical",Female,1,2
962,"Nature, Adventure",Female,2,1
963,"City, Historical",Male,1,1
964,"Beaches, Historical",Female,1,0
965,"Nature, Adventure",Male,1,0
966,"City, Historical",Female,1,0
967,"Beaches, Historical",Female,2,1
968,"Nature, Adventure",Female,1,2
969,"City, Historical",Male,1,1
970,"Beaches, Historical",Female,1,0
971,"Nature, Adventure",Female,2,2
972,"City, Historical",Female,2,0
973,"Beaches, Historical",Female,1,2
974,"Nature, Adventure",Male,2,1
975,"City, Historical",Female,1,0
976,"Beaches, Historical",Male,1,1
977,"Nature, Adventure",Male,1,1
978,"City, Historical",Female,2,1
979,"Beaches, Historical",Male,1,2
980,"Nature, Adventure",Female,1,1
981,"City, Historical",Male,1,1
982,"Beaches, Historical",Female,2,2
983,"Nature, Adventure",Male,2,1
984,"City, Historical",Male,2,1
985,"Beaches, Historical",Male,1,1
986,"Nature, Adventure",Female,1,2
987,"City, Historical",Female,2,2
988,"Beaches, Historical",Male,1,0
989,"Nature, Adventure",Male,2,1
990,"City, Historical",Female,2,2
991,"Beaches, Historical",Female,1,1
992,"Nature, Adventure",Male,1,2
993,"City, Historical",Male,1,2
994,"Beaches, Historical",Male,1,2
995,"Nature, Adventure",Male,1,0
996,"City, Historical",Male,1,1
997,"Beaches, Historical",Male,1,2
998,"Nature, Adventure",Male,1,1
999,"City, Historical",Male,2,2
