host_id,name,state,city,languages,skills,interests,role,price_per_hour,rating,experience_count,availability,verified,is_demo_data
1,Demo Host 001,Telangana,Hyderabad,English | Hindi,Guide,Culture | Adventure,Guide,300,4.6,194,Weekends,True,True
194,Demo Host 194,Uttarakhand,Dehradun,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,300,5.0,180,Weekdays & Weekends,True,True
195,Demo Host 195,Jammu and Kashmir,Srinagar,English | Tamil,Shopping Companion,Shopping | Food,Shopping Companion,500,4.9,34,Weekends,True,True
196,Demo Host 196,Ladakh,Leh,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,1000,4.3,161,Weekdays & Weekends,True,True
197,Demo Host 197,Odisha,Bhubaneswar,English | Hindi,Guide,Culture | Adventure,Guide,500,4.7,149,Weekends,True,True
198,Demo Host 198,Odisha,Puri,English | Marathi,Local Companion,Photography | Spiritual,Local Companion,600,4.6,8,Weekdays & Weekends,True,True
199,Demo Host 199,Punjab,Amritsar,English | Hindi,Food Expert,Shopping | Food,Food Expert,800,4.4,207,Weekends,True,True
200,Demo Host 200,Gujarat,Ahmedabad,English | Hindi,Photographer,Heritage | Nature,Photographer,1000,4.6,117,Weekdays & Weekends,True,True
201,Demo Host 201,Telangana,Hyderabad,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,300,4.9,78,Weekends,True,True
202,Demo Host 202,Telangana,Warangal,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,800,4.3,196,Weekdays & Weekends,True,True
203,Demo Host 203,Andhra Pradesh,Visakhapatnam,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,500,4.9,249,Weekends,True,True
204,Demo Host 204,Andhra Pradesh,Vijayawada,English | Kannada,Guide,Heritage | Nature,Guide,800,4.9,74,Weekdays & Weekends,True,True
205,Demo Host 205,Andhra Pradesh,Tirupati,English | Hindi,Local Companion,Culture | Adventure,Local Companion,300,5.0,31,Weekends,True,True
206,Demo Host 206,Karnataka,Bengaluru,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,300,4.7,168,Weekdays & Weekends,True,True
207,Demo Host 207,Karnataka,Mysuru,English | Bengali,Photographer,Shopping | Food,Photographer,600,4.9,27,Weekends,True,True
208,Demo Host 208,Karnataka,Hampi,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,1000,4.4,12,Weekdays & Weekends,True,True
209,Demo Host 209,Karnataka,Mangaluru,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,500,4.8,40,Weekends,True,True
210,Demo Host 210,Tamil Nadu,Chennai,English | Telugu,Nature Guide,Photography | Spiritual,Nature Guide,800,4.9,53,Weekdays & Weekends,True,True
211,Demo Host 211,Tamil Nadu,Coimbatore,English | Hindi,Guide,Shopping | Food,Guide,400,4.2,165,Weekends,True,True
212,Demo Host 212,Tamil Nadu,Madurai,English | Hindi,Local Companion,Heritage | Nature,Local Companion,300,4.2,6,Weekdays & Weekends,True,True
213,Demo Host 213,Tamil Nadu,Ooty,English | Malayalam,Food Expert,Culture | Adventure,Food Expert,800,4.8,153,Weekends,True,True
214,Demo Host 214,Kerala,Kochi,English | Hindi,Photographer,Photography | Spiritual,Photographer,1000,4.9,63,Weekdays & Weekends,True,True
215,Demo Host 215,Kerala,Munnar,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,400,4.8,19,Weekends,True,True
216,Demo Host 216,Kerala,Thiruvananthapuram,English | English,Shopping Companion,Heritage | Nature,Shopping Companion,1000,4.8,232,Weekdays & Weekends,True,True
217,Demo Host 217,Kerala,Alappuzha,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,1000,4.9,176,Weekends,True,True
218,Demo Host 218,Maharashtra,Mumbai,English | Hindi,Guide,Photography | Spiritual,Guide,500,4.4,14,Weekdays & Weekends,True,True
219,Demo Host 219,Maharashtra,Pune,English | Tamil,Local Companion,Shopping | Food,Local Companion,300,4.6,35,Weekends,True,True
220,Demo Host 220,Maharashtra,Nashik,English | Hindi,Food Expert,Heritage | Nature,Food Expert,600,4.7,187,Weekdays & Weekends,True,True
221,Demo Host 221,Rajasthan,Jaipur,English | Hindi,Photographer,Culture | Adventure,Photographer,300,4.3,213,Weekends,True,True
222,Demo Host 222,Rajasthan,Udaipur,English | Marathi,Heritage Expert,Photography | Spiritual,Heritage Expert,800,4.4,184,Weekdays & Weekends,True,True
223,Demo Host 223,Rajasthan,Jodhpur,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,300,4.8,71,Weekends,True,True
224,Demo Host 224,Delhi,New Delhi,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,600,4.7,245,Weekdays & Weekends,True,True
225,Demo Host 225,Uttar Pradesh,Agra,English | Hindi,Guide,Culture | Adventure,Guide,600,4.7,18,Weekends,True,True
226,Demo Host 226,Uttar Pradesh,Varanasi,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,300,4.9,15,Weekdays & Weekends,True,True
227,Demo Host 227,Goa,Panaji,English | Hindi,Food Expert,Shopping | Food,Food Expert,500,4.3,178,Weekends,True,True
228,Demo Host 228,Goa,North Goa,English | Kannada,Photographer,Heritage | Nature,Photographer,500,4.3,27,Weekdays & Weekends,True,True
229,Demo Host 229,West Bengal,Kolkata,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,500,4.6,245,Weekends,True,True
230,Demo Host 230,Assam,Guwahati,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,600,4.7,197,Weekdays & Weekends,True,True
231,Demo Host 231,Himachal Pradesh,Manali,English | Bengali,Nature Guide,Shopping | Food,Nature Guide,1000,4.3,145,Weekends,True,True
232,Demo Host 232,Himachal Pradesh,Shimla,English | Hindi,Guide,Heritage | Nature,Guide,400,4.4,236,Weekdays & Weekends,True,True
233,Demo Host 233,Uttarakhand,Rishikesh,English | Hindi,Local Companion,Culture | Adventure,Local Companion,500,4.8,146,Weekends,True,True
234,Demo Host 234,Uttarakhand,Dehradun,English | Telugu,Food Expert,Photography | Spiritual,Food Expert,400,5.0,164,Weekdays & Weekends,True,True
235,Demo Host 235,Jammu and Kashmir,Srinagar,English | Hindi,Photographer,Shopping | Food,Photographer,300,4.6,41,Weekends,True,True
236,Demo Host 236,Ladakh,Leh,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,800,4.6,103,Weekdays & Weekends,True,True
237,Demo Host 237,Odisha,Bhubaneswar,English | Malayalam,Shopping Companion,Culture | Adventure,Shopping Companion,300,4.3,34,Weekends,True,True
238,Demo Host 238,Odisha,Puri,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,1000,4.4,73,Weekdays & Weekends,True,True
239,Demo Host 239,Punjab,Amritsar,English | Hindi,Guide,Shopping | Food,Guide,600,4.7,109,Weekends,True,True
240,Demo Host 240,Gujarat,Ahmedabad,English | English,Local Companion,Heritage | Nature,Local Companion,500,4.5,160,Weekdays & Weekends,True,True
241,Demo Host 241,Telangana,Hyderabad,English | Hindi,Food Expert,Culture | Adventure,Food Expert,300,4.4,105,Weekends,True,True
242,Demo Host 242,Telangana,Warangal,English | Hindi,Photographer,Photography | Spiritual,Photographer,1000,4.5,149,Weekdays & Weekends,True,True
243,Demo Host 243,Andhra Pradesh,Visakhapatnam,English | Tamil,Heritage Expert,Shopping | Food,Heritage Expert,1000,4.5,13,Weekends,True,True
244,Demo Host 244,Andhra Pradesh,Vijayawada,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,500,4.4,121,Weekdays & Weekends,True,True
245,Demo Host 245,Andhra Pradesh,Tirupati,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,300,4.7,145,Weekends,True,True
246,Demo Host 246,Karnataka,Bengaluru,English | Marathi,Guide,Photography | Spiritual,Guide,600,4.7,176,Weekdays & Weekends,True,True
247,Demo Host 247,Karnataka,Mysuru,English | Hindi,Local Companion,Shopping | Food,Local Companion,600,4.5,164,Weekends,True,True
248,Demo Host 248,Karnataka,Hampi,English | Hindi,Food Expert,Heritage | Nature,Food Expert,400,4.6,197,Weekdays & Weekends,True,True
249,Demo Host 249,Karnataka,Mangaluru,English | Hindi,Photographer,Culture | Adventure,Photographer,400,4.7,110,Weekends,True,True
250,Demo Host 250,Tamil Nadu,Chennai,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,600,4.6,93,Weekdays & Weekends,True,True
251,Demo Host 251,Tamil Nadu,Coimbatore,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,800,4.9,185,Weekends,True,True
252,Demo Host 252,Tamil Nadu,Madurai,English | Kannada,Nature Guide,Heritage | Nature,Nature Guide,300,4.6,230,Weekdays & Weekends,True,True
253,Demo Host 253,Tamil Nadu,Ooty,English | Hindi,Guide,Culture | Adventure,Guide,800,4.8,132,Weekends,True,True
254,Demo Host 254,Kerala,Kochi,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,400,4.9,82,Weekdays & Weekends,True,True
255,Demo Host 255,Kerala,Munnar,English | Bengali,Food Expert,Shopping | Food,Food Expert,500,4.3,126,Weekends,True,True
256,Demo Host 256,Kerala,Thiruvananthapuram,English | Hindi,Photographer,Heritage | Nature,Photographer,300,4.9,22,Weekdays & Weekends,True,True
257,Demo Host 257,Kerala,Alappuzha,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,800,4.4,18,Weekends,True,True
258,Demo Host 258,Maharashtra,Mumbai,English | Telugu,Shopping Companion,Photography | Spiritual,Shopping Companion,600,4.3,86,Weekdays & Weekends,True,True
259,Demo Host 259,Maharashtra,Pune,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,800,4.8,81,Weekends,True,True
260,Demo Host 260,Maharashtra,Nashik,English | Hindi,Guide,Heritage | Nature,Guide,1000,4.9,8,Weekdays & Weekends,True,True
261,Demo Host 261,Rajasthan,Jaipur,English | Malayalam,Local Companion,Culture | Adventure,Local Companion,800,4.5,214,Weekends,True,True
262,Demo Host 262,Rajasthan,Udaipur,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,800,4.7,42,Weekdays & Weekends,True,True
263,Demo Host 263,Rajasthan,Jodhpur,English | Hindi,Photographer,Shopping | Food,Photographer,800,4.5,34,Weekends,True,True
264,Demo Host 264,Delhi,New Delhi,English | English,Heritage Expert,Heritage | Nature,Heritage Expert,600,5.0,239,Weekdays & Weekends,True,True
265,Demo Host 265,Uttar Pradesh,Agra,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,500,4.4,194,Weekends,True,True
266,Demo Host 266,Uttar Pradesh,Varanasi,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,800,4.8,173,Weekdays & Weekends,True,True
267,Demo Host 267,Goa,Panaji,English | Tamil,Guide,Shopping | Food,Guide,800,4.7,100,Weekends,True,True
268,Demo Host 268,Goa,North Goa,English | Hindi,Local Companion,Heritage | Nature,Local Companion,500,4.4,7,Weekdays & Weekends,True,True
269,Demo Host 269,West Bengal,Kolkata,English | Hindi,Food Expert,Culture | Adventure,Food Expert,800,4.3,133,Weekends,True,True
270,Demo Host 270,Assam,Guwahati,English | Marathi,Photographer,Photography | Spiritual,Photographer,800,4.9,45,Weekdays & Weekends,True,True
271,Demo Host 271,Himachal Pradesh,Manali,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,1000,4.6,247,Weekends,True,True
272,Demo Host 272,Himachal Pradesh,Shimla,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,400,5.0,210,Weekdays & Weekends,True,True
273,Demo Host 273,Uttarakhand,Rishikesh,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,600,4.6,39,Weekends,True,True
274,Demo Host 274,Uttarakhand,Dehradun,English | Hindi,Guide,Photography | Spiritual,Guide,1000,4.3,101,Weekdays & Weekends,True,True
275,Demo Host 275,Jammu and Kashmir,Srinagar,English | Hindi,Local Companion,Shopping | Food,Local Companion,1000,4.5,190,Weekends,True,True
276,Demo Host 276,Ladakh,Leh,English | Kannada,Food Expert,Heritage | Nature,Food Expert,500,4.3,119,Weekdays & Weekends,True,True
277,Demo Host 277,Odisha,Bhubaneswar,English | Hindi,Photographer,Culture | Adventure,Photographer,400,4.9,49,Weekends,True,True
278,Demo Host 278,Odisha,Puri,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,1000,4.4,15,Weekdays & Weekends,True,True
279,Demo Host 279,Punjab,Amritsar,English | Bengali,Shopping Companion,Shopping | Food,Shopping Companion,400,4.6,76,Weekends,True,True
280,Demo Host 280,Gujarat,Ahmedabad,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,1000,4.6,148,Weekdays & Weekends,True,True
281,Demo Host 281,Telangana,Hyderabad,English | Hindi,Guide,Culture | Adventure,Guide,300,4.4,25,Weekends,True,True
282,Demo Host 282,Telangana,Warangal,English | Telugu,Local Companion,Photography | Spiritual,Local Companion,1000,4.7,211,Weekdays & Weekends,True,True
283,Demo Host 283,Andhra Pradesh,Visakhapatnam,English | Hindi,Food Expert,Shopping | Food,Food Expert,600,4.7,164,Weekends,True,True
284,Demo Host 284,Andhra Pradesh,Vijayawada,English | Hindi,Photographer,Heritage | Nature,Photographer,800,4.2,191,Weekdays & Weekends,True,True
285,Demo Host 285,Andhra Pradesh,Tirupati,English | Malayalam,Heritage Expert,Culture | Adventure,Heritage Expert,800,4.6,94,Weekends,True,True
286,Demo Host 286,Karnataka,Bengaluru,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,1000,4.9,87,Weekdays & Weekends,True,True
287,Demo Host 287,Karnataka,Mysuru,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,400,4.8,123,Weekends,True,True
288,Demo Host 288,Karnataka,Hampi,English | English,Guide,Heritage | Nature,Guide,800,4.6,213,Weekdays & Weekends,True,True
289,Demo Host 289,Karnataka,Mangaluru,English | Hindi,Local Companion,Culture | Adventure,Local Companion,500,4.7,227,Weekends,True,True
290,Demo Host 290,Tamil Nadu,Chennai,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,300,4.5,213,Weekdays & Weekends,True,True
291,Demo Host 291,Tamil Nadu,Coimbatore,English | Tamil,Photographer,Shopping | Food,Photographer,600,4.6,127,Weekends,True,True
292,Demo Host 292,Tamil Nadu,Madurai,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,600,4.5,30,Weekdays & Weekends,True,True
293,Demo Host 293,Tamil Nadu,Ooty,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,1000,4.7,229,Weekends,True,True
294,Demo Host 294,Kerala,Kochi,English | Marathi,Nature Guide,Photography | Spiritual,Nature Guide,500,4.5,48,Weekdays & Weekends,True,True
295,Demo Host 295,Kerala,Munnar,English | Hindi,Guide,Shopping | Food,Guide,400,4.2,51,Weekends,True,True
296,Demo Host 296,Kerala,Thiruvananthapuram,English | Hindi,Local Companion,Heritage | Nature,Local Companion,600,4.6,232,Weekdays & Weekends,True,True
297,Demo Host 297,Kerala,Alappuzha,English | Hindi,Food Expert,Culture | Adventure,Food Expert,500,4.7,80,Weekends,True,True
298,Demo Host 298,Maharashtra,Mumbai,English | Hindi,Photographer,Photography | Spiritual,Photographer,600,4.4,6,Weekdays & Weekends,True,True
299,Demo Host 299,Maharashtra,Pune,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,400,4.7,177,Weekends,True,True
300,Demo Host 300,Maharashtra,Nashik,English | Kannada,Shopping Companion,Heritage | Nature,Shopping Companion,800,4.7,245,Weekdays & Weekends,True,True
